Brasília,Campo Grande,Cuiabá,Goiânia,Belo Horizonte,Rio de Janeiro,São Paulo,Vitória,Curitiba,Florianópolis,Porto Alegre,Belém,Boa Vista,Macapá,Manaus,Palmas,Porto Velho,Rio Branco,Aracaju,Fortaleza,João Pessoa,Maceió,Natal,Recife,Salvador,São Luís,Teresina,Macaé
09-2024,682.51,714.63,,672.93,663.22,757.3,792.47,694.87,698.44,768.33,756.17,647.79,,,,,,,506.19,615.92,552.35,,554,535.32,553.62,,,
10-2024,711.05,751.06,,695.37,690.15,773.7,805.84,708.06,726.62,796.94,774.32,649.9,,,,,,,519.31,641.34,566.46,,576.23,548.19,560.65,,,
11-2024,742.25,772.45,,727.65,698.83,777.66,828.39,726.51,739.4,799.62,780.71,663.02,,,,,,,533.26,663.95,590.82,,593.54,578.16,574.78,,,
12-2024,743.19,770.35,,732.5,706.32,779.84,841.29,747.42,741.9,809.46,783.72,665.83,,,,,,,554.08,673.77,606.91,,617.32,588.35,583.89,,,
01-2025,756.03,764.24,,756.92,729.06,802.88,851.82,735.31,743.69,808.75,770.63,697.81,,,,,,,571.43,700.44,618.64,,634.11,598.72,620.23,,,
02-2025,772.3,773.95,,739.34,735.31,814.9,860.53,745.49,745.88,807.71,769.74,700.06,,,,,,,580.45,710.66,634.41,,648.58,625.33,628.8,,,
03-2025,782.65,788.58,,754.06,754.07,835.5,880.72,762.94,772.83,831.92,791.64,704.9,,,,,,,569.48,727.46,626.89,,636.47,627.14,633.58,,,
04-2025,775.84,805.08,800.11,767.43,762.35,849.7,909.25,792.83,793.72,858.2,834.22,726.21,719.12,660.52,671.77,746.77,665.97,677.75,579.93,746.52,641.57,622.57,657,652.71,632.12,671.77,675.1,
05-2025,774.33,789.42,810.69,758.67,742.53,847.99,896.15,780.69,791.39,858.93,819.05,726.38,723.5,669.59,699.95,720.37,646.74,654.63,579.54,728.49,636.73,616.92,645,636,628.97,667.98,670.79,
06-2025,773.35,793.02,817.63,744.27,734.73,843.27,882.76,782.39,789.86,867.83,831.37,709.04,717.24,665.13,675.25,717.32,635.83,640.39,557.28,735.11,636.16,609.04,636.95,637.62,623.85,655.32,672.41,
07-2025,758.19,775.76,813.48,735.18,728.69,823.59,865.9,767.42,770.93,844.89,830.41,696.23,712.83,666.41,674.78,715.77,636.69,641.17,568.52,738.09,648,621.74,646.13,655.46,635.08,664.52,677,
08-2025,739.1,768.79,800.22,718.94,725.9,801.34,850.84,743.47,752.7,823.11,811.14,687.3,693.84,672.5,657.22,720.45,631.28,641.27,558.16,723.06,622.08,596.23,622,629.14,616.23,644.21,663.41,
09-2025,719.81,780.67,794.03,710.52,718.74,799.22,842.26,745.01,755.56,811.07,811.44,672.84,681.95,672.72,642.32,677.87,621.09,620.99,552.65,677.42,610.93,593.17,610.27,615.95,601.74,623.92,645.98,
10-2025,717.65,777.28,794.77,720.57,716.53,801.37,847.14,746.22,761.77,824.57,823.57,664.31,678.95,679.09,633.25,695.42,618.86,631.08,550.18,686.78,609.94,592.25,612.18,608.03,606.39,643.31,646.72,
